Field,ID,Type (Type),default,en-us,en
RecommendedHardwareReq4,853,Text,,,
RecommendedHardwareReq5,854,Text,,,
RecommendedHardwareReq6,855,Text,,,
RecommendedHardwareReq7,856,Text,,,
RecommendedHardwareReq8,857,Text,,,
RecommendedHardwareReq9,858,Text,,,
RecommendedHardwareReq10,859,Text,,,
RecommendedHardwareReq11,860,Text,,,
SearchTerm1,900,Text,markdown editor,markdown editor,markdown editor
SearchTerm2,901,Text,markdown viewer,markdown viewer,markdown viewer
SearchTerm3,902,Text,notes,notes,notes
SearchTerm4,903,Text,katex math,katex math,katex math
SearchTerm5,904,Text,mermaid diagram,mermaid diagram,mermaid diagram
SearchTerm6,905,Text,live preview,live preview,live preview
SearchTerm7,906,Text,offline editor,offline editor,offline editor
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,
TrailerTitle1,1020,Text,,,
TrailerTitle2,1021,Text,,,
TrailerTitle3,1022,Text,,,
TrailerTitle4,1023,Text,,,
TrailerTitle5,1024,Text,,,
TrailerTitle6,1025,Text,,,
TrailerTitle7,1026,Text,,,
TrailerTitle8,1027,Text,,,
TrailerTitle9,1028,Text,,,
TrailerTitle10,1029,Text,,,
TrailerTitle11,1030,Text,,,
TrailerTitle12,1031,Text,,,
TrailerTitle13,1032,Text,,,
TrailerTitle14,1033,Text,,,
TrailerTitle15,1034,Text,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption1,1055,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption2,1056,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption3,1057,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption4,1058,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption5,1059,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption6,1060,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption7,1061,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption8,1062,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption9,1063,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption10,1064,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption11,1065,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption12,1066,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption13,1067,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption14,1068,Relative path (or URL to file in Partner Center),,,
TrailerClosedCaption15,1069,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription1,1070,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription2,1071,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription3,1072,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription4,1073,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription5,1074,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription6,1075,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription7,1076,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription8,1077,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription9,1078,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription10,1079,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription11,1080,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription12,1081,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription13,1082,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription14,1083,Relative path (or URL to file in Partner Center),,,
TrailerAudioDescription15,1084,Relative path (or URL to file in Partner Center),,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
